output_index,tx_index,adr_index,input_value,spent_index
8390,1414,8381,5000000000,839
6230,1480,6221,5000000000,623
13190,1480,13171,5000000000,1319
12630,1480,12611,5000000000,1263
12140,1480,12121,5000000000,1214
13230,1480,13201,5000000000,1323
13570,1480,13541,5000000000,1357
10170,1613,10161,5000000000,1017
12920,1613,12901,5000000000,1292
11570,1613,11551,5000000000,1157
11350,1613,11331,5000000000,1135
9410,1613,9401,5000000000,941
10500,1613,10491,5000000000,1050
12280,1613,12261,5000000000,1228
8680,1613,8671,5000000000,868
10030,1613,10021,5000000000,1003
11560,1613,11541,5000000000,1156
14340,1795,14311,5000000000,1434
11650,1974,11631,5000000000,1165
11400,1974,11381,5000000000,1140
15390,1974,15351,5000000000,1539
15460,1974,15421,5000000000,1546
16480,1974,16441,5000000000,1648
16020,1974,15981,5000000000,1602
16050,1974,16011,5000000000,1605
16180,1974,16141,5000000000,1618
17620,1974,17581,5000000000,1762
17400,1974,17361,5000000000,1740
17470,1974,17431,5000000000,1747
17700,1974,17661,5000000000,1770
13660,1974,13631,5000000000,1366
14070,1974,14041,5000000000,1407
14240,1974,14211,5000000000,1424
14230,1974,14201,5000000000,1423
14210,1974,14181,5000000000,1421
14220,1974,14191,5000000000,1422
14150,1974,14121,5000000000,1415
16250,1974,16211,5000000000,1625
17430,1997,17391,5000000000,1743
17950,1997,17911,5000000000,1795
16860,1997,16821,5000000000,1686
21380,2308,21331,5000000000,2138
21460,2308,21411,5000000000,2146
19320,2308,19281,5000000000,1932
19280,2308,19241,5000000000,1928
21080,2308,21031,5000000000,2108
18540,2308,18501,5000000000,1854
18640,2308,18601,5000000000,1864
19660,2308,19621,5000000000,1966
21570,2308,21521,5000000000,2157
21840,2308,21791,5000000000,2184
20260,2308,20211,5000000000,2026
20680,2308,20631,5000000000,2068
14970,2550,14931,5000000000,1497
6670,2550,6661,5000000000,667
12560,2550,12541,5000000000,1256
8370,2550,8361,5000000000,837
10610,2550,10601,5000000000,1061
8870,2550,8861,5000000000,887
12170,2550,12151,5000000000,1217
16410,2550,16371,5000000000,1641
9850,2550,9841,5000000000,985
8210,2550,8201,5000000000,821
11740,2550,11721,5000000000,1174
10840,2550,10821,5000000000,1084
14000,2550,13971,5000000000,1400
8600,2550,8591,5000000000,860
7010,2550,7001,5000000000,701
4260,2550,4271,5000000000,426
15510,2550,15471,5000000000,1551
5370,2550,5381,5000000000,537
13400,2550,13371,5000000000,1340
7700,2550,7691,5000000000,770
25160,2649,25101,5000000000,2516
24900,2649,24841,5000000000,2490
7040,2788,7031,5000000000,704
27090,2847,27031,5000000000,2709
28470,2848,28412,5000000000,2847
28480,2849,28412,5000000000,2848
28491,2850,28411,4999000000,2849
28501,2851,28411,4998000000,2850
28511,2853,28411,4997000000,2851
28531,2854,28411,4996000000,2853
28541,2855,28411,4995000000,2854
28551,2856,28411,4994000000,2855
28561,2857,28411,3494000000,2856
28571,2862,28411,3493000000,2857
28620,2863,28412,100000000,2862
28621,2863,28411,3293000000,2862
28630,2864,28412,100000000,2863
28631,2864,28411,3193000000,2863
13080,2962,13061,5000000000,1308
27880,2964,27822,5000000000,2788
26670,2972,26611,5000000000,2667
24180,3358,24121,5000000000,2418
21150,3358,21101,5000000000,2115
19440,3358,19401,5000000000,1944
19510,3358,19471,5000000000,1951
25730,3358,25671,5000000000,2573
19960,3358,19911,5000000000,1996
25200,3358,25141,5000000000,2520
25490,3358,25431,5000000000,2549
20610,3358,20561,5000000000,2061
23280,3358,23221,5000000000,2328
22190,3358,22141,5000000000,2219
27610,3358,27551,5000000000,2761
27980,3358,27921,5000000000,2798
18990,3358,18951,5000000000,1899
19470,3358,19431,5000000000,1947
23150,3358,23091,5000000000,2315
12780,3361,12761,5000000000,1278
26020,3361,25961,5000000000,2602
17010,3361,16971,5000000000,1701
20550,3362,20501,5000000000,2055
33621,3363,20501,4800000000,3362
19570,3363,19531,5000000000,1957
17050,3363,17011,5000000000,1705
19760,3363,19711,5000000000,1976
25500,3565,25442,100000000000,2550
23440,3701,23381,5000000000,2344
23840,3701,23781,5000000000,2384
23210,3701,23151,5000000000,2321
25480,3701,25421,5000000000,2548
23900,3701,23841,5000000000,2390
24380,3701,24321,5000000000,2438
22960,3701,22911,5000000000,2296
24710,3701,24651,5000000000,2471
23910,3701,23851,5000000000,2391
25330,3701,25271,5000000000,2533
27060,3701,27001,5000000000,2706
27290,3701,27231,5000000000,2729
26540,3701,26481,5000000000,2654
30880,3701,30761,5000000000,3088
27560,3701,27501,5000000000,2756
30170,3701,30051,5000000000,3017
29840,3701,29721,5000000000,2984
28390,3701,28331,5000000000,2839
30570,3701,30451,5000000000,3057
29680,3701,29561,5000000000,2968
31660,3701,31541,5000000000,3166
32200,3701,32081,5000000000,3220
32390,3701,32271,5000000000,3239
30640,3701,30521,5000000000,3064
33110,3701,32991,5000000000,3311
32010,3701,31891,5000000000,3201
35100,3701,34981,5000000000,3510
35260,3701,35141,5000000000,3526
35570,3701,35451,5000000000,3557
35620,3701,35501,5000000000,3562
25680,3701,25621,5000000000,2568
22490,3701,22441,5000000000,2249
24100,3701,24041,5000000000,2410
25430,3701,25371,5000000000,2543
27890,3701,27831,5000000000,2789
27810,3701,27751,5000000000,2781
28720,3701,28611,5000000000,2872
30060,3701,29941,5000000000,3006
32080,3701,31961,5000000000,3208
32100,3701,31981,5000000000,3210
34000,3701,33881,5000000000,3400
34140,3701,34021,5000000000,3414
34150,3701,34031,5000000000,3415
34410,3701,34291,5000000000,3441
28490,3940,28421,1000000,2849
35760,3940,35641,5000000000,3576
36510,3940,36391,5000000000,3651
28500,3940,28431,1000000,2850
34670,3940,34551,5000000000,3467
36570,3940,36451,5000000000,3657
34580,3940,34461,5000000000,3458
36930,3940,36811,5000000000,3693
34280,3940,34161,5000000000,3428
29720,3940,29601,2000000,2972
38440,3994,38311,5000000000,3844
38650,3994,38521,5000000000,3865
38600,3994,38471,5000000000,3860
38700,3994,38571,5000000000,3870
39010,4465,38881,5000000000,3901
34020,4465,33901,5000000000,3402
27390,4465,27331,5000000000,2739
35560,4465,35441,5000000000,3556
26890,4465,26831,5000000000,2689
34720,4468,34601,5000000000,3472
34530,4468,34411,5000000000,3453
40160,4470,40031,5000000000,4016
44650,4470,44521,25000000000,4465
44680,4470,44551,10000000000,4468
41710,4470,41581,5000000000,4171
43400,4470,43271,5000000000,4340
38890,4470,38761,5000000000,3889
10220,4602,10211,5000000000,1022
33850,4602,33731,5000000000,3385
36060,4602,35941,5000000000,3606
40600,4602,40471,5000000000,4060
39910,4602,39781,5000000000,3991
41320,4602,41191,5000000000,4132
41380,4602,41251,5000000000,4138
42470,4602,42341,5000000000,4247
42530,4602,42401,5000000000,4253
42730,4602,42601,5000000000,4273
40000,4602,39871,5000000000,4000
42130,4602,42001,5000000000,4213
40290,4602,40161,5000000000,4029
42940,4602,42811,5000000000,4294
43010,4602,42881,5000000000,4301
43510,4602,43381,5000000000,4351
43730,4602,43601,5000000000,4373
44160,4602,44031,5000000000,4416
44200,4602,44071,5000000000,4420
44620,4602,44491,5000000000,4462
42010,4602,41881,5000000000,4201
42030,4602,41901,5000000000,4203
44080,4602,43951,5000000000,4408
44400,4602,44271,5000000000,4440
38810,4602,38681,5000000000,3881
39900,4602,39771,5000000000,3990
40190,4602,40061,5000000000,4019
44760,4602,44631,5000000000,4476
41250,4602,41121,5000000000,4125
42750,4602,42621,5000000000,4275
36180,4989,36061,5000000000,3618
46300,4989,46161,5000000000,4630
46490,4989,46351,5000000000,4649
46260,4989,46121,5000000000,4626
46210,4989,46071,5000000000,4621
45560,4989,45431,5000000000,4556
45440,4989,45311,5000000000,4544
45270,4989,45141,5000000000,4527
47210,4989,47071,5000000000,4721
46920,4989,46781,5000000000,4692
47750,4989,47611,5000000000,4775
47730,4989,47591,5000000000,4773
48380,4989,48241,5000000000,4838
46580,4989,46441,5000000000,4658
45100,4989,44971,5000000000,4510
48220,4989,48081,5000000000,4822
43920,5281,43791,5000000000,4392
50290,5281,50141,5000000000,5029
46230,5281,46091,5000000000,4623
50540,5281,50391,5000000000,5054
46180,5282,46041,5000000000,4618
52810,5285,52661,20000000000,5281
46360,5285,46221,5000000000,4636
44420,5285,44291,5000000000,4442
52820,5285,52671,5000000000,5282
46870,5285,46731,5000000000,4687
52850,5286,52701,40000000000,5285
35910,5875,35791,5000000000,3591
56360,5875,56211,5000000000,5636
56370,5875,56221,5000000000,5637
48930,5875,48791,5000000000,4893
48920,5875,48781,5000000000,4892
49480,5875,49341,5000000000,4948
49600,5875,49461,5000000000,4960
52840,5875,52691,5000000000,5284
49800,5875,49661,5000000000,4980
50710,5875,50561,5000000000,5071
50980,5875,50831,5000000000,5098
52090,5875,51941,5000000000,5209
52150,5875,52001,5000000000,5215
52680,5875,52531,5000000000,5268
52760,5875,52611,5000000000,5276
53210,5875,53061,5000000000,5321
52540,5875,52391,5000000000,5254
53730,5875,53581,5000000000,5373
53780,5875,53631,5000000000,5378
54350,5875,54201,5000000000,5435
54480,5875,54331,5000000000,5448
54680,5875,54531,5000000000,5468
54860,5875,54711,5000000000,5486
55450,5875,55301,5000000000,5545
57490,5875,57341,5000000000,5749
55980,5875,55831,5000000000,5598
56490,5875,56341,5000000000,5649
56150,5875,56001,5000000000,5615
51900,5875,51751,5000000000,5190
52620,5875,52471,5000000000,5262
53150,5875,53001,5000000000,5315
56730,5875,56581,5000000000,5673
52950,5875,52801,5000000000,5295
50930,5875,50781,5000000000,5093
50080,5875,49931,5000000000,5008
50400,5875,50251,5000000000,5040
54230,5986,54081,5000000000,5423
54460,5986,54311,5000000000,5446
54330,5986,54181,5000000000,5433
58550,5986,58401,5000000000,5855
53720,5986,53571,5000000000,5372
57900,5986,57751,5000000000,5790
57050,5986,56901,5000000000,5705
60760,6226,60591,5000000000,6076
52370,6226,52221,5000000000,5237
51830,6226,51681,5000000000,5183
60910,6226,60741,5000000000,6091
57310,6226,57161,5000000000,5731
60610,6227,60441,5000000000,6061
59630,6227,59471,5000000000,5963
59740,6227,59581,5000000000,5974
49020,6399,48881,5000000000,4902
49550,6399,49411,5000000000,4955
58140,6399,57991,5000000000,5814
58150,6399,58001,5000000000,5815
58270,6399,58121,5000000000,5827
58440,6399,58291,5000000000,5844
62640,6399,62451,5000000000,6264
60050,6399,59881,5000000000,6005
60130,6399,59961,5000000000,6013
60300,6399,60131,5000000000,6030
60350,6399,60181,5000000000,6035
60430,6399,60261,5000000000,6043
60550,6399,60381,5000000000,6055
60720,6399,60551,5000000000,6072
62760,6399,62571,5000000000,6276
61050,6399,60881,5000000000,6105
61850,6399,61681,5000000000,6185
61590,6399,61421,5000000000,6159
61960,6399,61791,5000000000,6196
62160,6399,61991,5000000000,6216
62510,6399,62321,5000000000,6251
62330,6399,62141,5000000000,6233
62550,6399,62361,5000000000,6255
62450,6399,62261,5000000000,6245
49500,6416,49361,5000000000,4950
58300,6530,58151,5000000000,5830
62630,6530,62441,5000000000,6263
63190,6530,63001,5000000000,6319
63740,6530,63551,5000000000,6374
63870,6530,63681,5000000000,6387
63600,6530,63411,5000000000,6360
63430,6530,63241,5000000000,6343
63380,6530,63191,5000000000,6338
63470,6839,63281,5000000000,6347
66840,6840,66621,5000000000,6684
64390,6840,64181,5000000000,6439
51680,6840,51531,5000000000,5168
65160,6840,64951,5000000000,6516
66500,6840,66281,5000000000,6650
54570,6840,54421,5000000000,5457
68400,6843,68181,30000000000,6840
66400,6843,66181,5000000000,6640
61920,6843,61751,5000000000,6192
61810,6843,61641,5000000000,6181
61340,6843,61171,5000000000,6134
61170,6843,61001,5000000000,6117
68390,6843,68171,5000000000,6839
61470,6843,61301,5000000000,6147
64030,6843,63831,5000000000,6403
62780,6843,62591,5000000000,6278
64600,6843,64391,5000000000,6460
63110,6843,62921,5000000000,6311
63370,6843,63181,5000000000,6337
63120,6843,62931,5000000000,6312
65740,6843,65521,5000000000,6574
65810,6843,65591,5000000000,6581
66240,6843,66021,5000000000,6624
66350,6843,66131,5000000000,6635
66260,6843,66041,5000000000,6626
67990,7256,67771,5000000000,6799
67950,7256,67731,5000000000,6795
69570,7256,69341,5000000000,6957
67300,7388,67081,5000000000,6730
69240,7388,69011,5000000000,6924
70690,7388,70461,5000000000,7069
68350,7388,68131,5000000000,6835
67530,7388,67311,5000000000,6753
67480,7388,67261,5000000000,6748
69390,7388,69161,5000000000,6939
69620,7388,69391,5000000000,6962
70370,7388,70141,5000000000,7037
70320,7388,70091,5000000000,7032
67560,7388,67341,5000000000,6756
72560,7388,72331,15000000000,7256
70450,7388,70221,5000000000,7045
68890,7757,68661,5000000000,6889
67010,7757,66791,5000000000,6701
64880,7757,64671,5000000000,6488
71650,7757,71421,5000000000,7165
66390,7757,66171,5000000000,6639
69870,7757,69641,5000000000,6987
65790,7757,65571,5000000000,6579
71940,7757,71711,5000000000,7194
72610,7757,72381,5000000000,7261
68450,7757,68221,5000000000,6845
67840,7757,67621,5000000000,6784
64100,7757,63901,5000000000,6410
66190,7757,65971,5000000000,6619
66130,7757,65911,5000000000,6613
67090,7757,66871,5000000000,6709
64330,7757,64121,5000000000,6433
64740,7757,64531,5000000000,6474
71050,7757,70821,5000000000,7105
65550,7757,65331,5000000000,6555
66010,7757,65791,5000000000,6601
64780,7757,64571,5000000000,6478
72690,7757,72461,5000000000,7269
71770,7757,71541,5000000000,7177
66740,7757,66521,5000000000,6674
64630,7757,64421,5000000000,6463
68660,7757,68431,5000000000,6866
69720,7757,69491,5000000000,6972
68720,7757,68491,5000000000,6872
69110,7757,68881,5000000000,6911
69970,7757,69741,5000000000,6997
70270,7757,70041,5000000000,7027
69420,7757,69191,5000000000,6942
70130,7757,69901,5000000000,7013
69060,7757,68831,5000000000,6906
65010,7757,64801,5000000000,6501
66360,7757,66141,5000000000,6636
71900,7757,71671,5000000000,7190
70390,7757,70161,5000000000,7039
68860,7757,68631,5000000000,6886
72720,7757,72491,5000000000,7272
65380,7757,65161,5000000000,6538
71780,7757,71551,5000000000,7178
65730,7757,65511,5000000000,6573
68640,7757,68411,5000000000,6864
73130,7757,72901,5000000000,7313
72780,7757,72551,5000000000,7278
64900,7757,64691,5000000000,6490
66770,7757,66551,5000000000,6677
77300,8020,77061,5000000000,7730
74220,8020,73981,5000000000,7422
78640,8020,78391,5000000000,7864
78930,8020,78681,5000000000,7893
77390,8020,77151,5000000000,7739
73980,8020,73741,5000000000,7398
77050,8020,76811,5000000000,7705
73400,8020,73171,5000000000,7340
76520,8020,76281,5000000000,7652
73050,8020,72821,5000000000,7305
75550,8020,75311,5000000000,7555
71950,8021,71721,5000000000,7195
74130,8021,73891,5000000000,7413
75620,8021,75381,5000000000,7562
78160,8226,77911,5000000000,7816
79570,8226,79321,5000000000,7957
78310,8226,78061,5000000000,7831
78700,8226,78451,5000000000,7870
78870,8226,78621,5000000000,7887
80580,8226,80311,5000000000,8058
77810,8226,77561,5000000000,7781
80270,8226,80001,5000000000,8027
79920,8226,79671,5000000000,7992
80520,8226,80251,5000000000,8052
79660,8226,79411,5000000000,7966
78670,8226,78421,5000000000,7867
82420,8399,82141,5000000000,8242
80250,8399,79981,5000000000,8025
79650,8399,79401,5000000000,7965
79240,8399,78991,5000000000,7924
80280,8399,80011,5000000000,8028
81700,8399,81431,5000000000,8170
80840,8400,80571,5000000000,8084
67310,8400,67091,5000000000,6731
68880,8400,68651,5000000000,6888
68810,8400,68581,5000000000,6881
67210,8400,66991,5000000000,6721
81070,8861,80801,5000000000,8107
86960,8861,86661,5000000000,8696
87000,8861,86701,5000000000,8700
81590,8861,81321,5000000000,8159
82200,8861,81931,5000000000,8220
82280,8861,82001,5000000000,8228
82670,8861,82391,5000000000,8267
83710,8861,83431,5000000000,8371
83820,8861,83541,5000000000,8382
83960,8861,83681,5000000000,8396
83840,8861,83561,5000000000,8384
84020,8861,83721,5000000000,8402
85280,8861,84981,5000000000,8528
82950,8861,82671,5000000000,8295
81270,8861,81001,5000000000,8127
83030,8861,82751,5000000000,8303
83060,8861,82781,5000000000,8306
83080,8861,82801,5000000000,8308
82510,8861,82231,5000000000,8251
83210,8861,82931,5000000000,8321
83350,8861,83071,5000000000,8335
86470,8861,86171,5000000000,8647
84410,8861,84111,5000000000,8441
84870,8861,84571,5000000000,8487
85020,8861,84721,5000000000,8502
85940,8861,85641,5000000000,8594
86530,8861,86231,5000000000,8653
87220,8861,86921,5000000000,8722
87080,9093,86781,5000000000,8708
83070,9094,82791,5000000000,8307
88680,9094,88371,5000000000,8868
86170,9094,85871,5000000000,8617
89130,9094,88821,5000000000,8913
82880,9094,82601,5000000000,8288
89400,9094,89091,5000000000,8940
86140,9094,85841,5000000000,8614
83550,9094,83271,5000000000,8355
84130,9094,83831,5000000000,8413
86150,9094,85851,5000000000,8615
84560,9094,84261,5000000000,8456
83750,9094,83471,5000000000,8375
87120,9094,86821,5000000000,8712
83590,9094,83311,5000000000,8359
87110,9094,86811,5000000000,8711
88660,9094,88351,5000000000,8866
83000,9095,82721,5000000000,8300
83230,9095,82951,5000000000,8323
83020,9095,82741,5000000000,8302
80100,9444,79851,5000000000,8010
88020,9444,87721,5000000000,8802
91060,9444,90721,5000000000,9106
88700,9444,88391,5000000000,8870
89270,9444,88961,5000000000,8927
89310,9444,89001,5000000000,8931
89530,9444,89221,5000000000,8953
89500,9444,89191,5000000000,8950
90070,9444,89761,5000000000,9007
90500,9444,90191,5000000000,9050
89910,9444,89601,5000000000,8991
89850,9444,89541,5000000000,8985
89940,9444,89631,5000000000,8994
90660,9444,90351,5000000000,9066
90750,9444,90441,5000000000,9075
90780,9444,90471,5000000000,9078
92450,9444,92111,5000000000,9245
92720,9444,92381,5000000000,9272
92930,9444,92591,5000000000,9293
92950,9444,92611,5000000000,9295
93220,9444,92881,5000000000,9322
93090,9444,92751,5000000000,9309
93170,9444,92831,5000000000,9317
89030,9444,88721,5000000000,8903
87770,9444,87471,5000000000,8777
90140,9444,89831,5000000000,9014
87990,9444,87691,5000000000,8799
91800,9444,91461,5000000000,9180
92800,9444,92461,5000000000,9280
92110,9444,91771,5000000000,9211
93230,9444,92891,5000000000,9323
93130,9444,92791,5000000000,9313
93320,10053,92981,5000000000,9332
92060,10053,91721,5000000000,9206
96590,10054,96241,5000000000,9659
95320,10054,94971,5000000000,9532
92860,10054,92521,5000000000,9286
91490,10054,91151,5000000000,9149
95490,10054,95141,5000000000,9549
97560,10054,97211,5000000000,9756
98090,10054,97741,5000000000,9809
97600,10054,97251,5000000000,9760
98870,10054,98521,5000000000,9887
92350,10054,92011,5000000000,9235
97830,10054,97481,5000000000,9783
99190,10054,98841,5000000000,9919
95620,10054,95271,5000000000,9562
95640,10054,95291,5000000000,9564
98210,10054,97861,5000000000,9821
104500,10663,104131,5000000000,10450
102470,10663,102101,5000000000,10247
104240,10663,103871,5000000000,10424
105050,10663,104681,5000000000,10505
104790,10663,104421,5000000000,10479
101300,10663,100931,5000000000,10130
103170,10663,102801,5000000000,10317
92010,10806,91671,5000000000,9201
98650,10806,98301,5000000000,9865
90680,10806,90371,5000000000,9068
101990,10806,101621,5000000000,10199
100250,10806,99901,5000000000,10025
90270,10806,89961,5000000000,9027
108060,10820,107691,30000000000,10806
106630,10820,106261,35000000000,10663
107600,10888,107231,5000000000,10760
112530,11492,112151,5000000000,11253
114920,11506,114542,3251000000,11492
53930,11507,53781,5000000000,5393
112690,11526,112311,5000000000,11269
112730,11617,112351,5000000000,11273
109020,11617,108641,5000000000,10902
106490,11617,106121,5000000000,10649
106980,11617,106611,5000000000,10698
107700,11617,107331,5000000000,10770
106060,11617,105691,5000000000,10606
109300,11617,108921,5000000000,10930
106010,11617,105641,5000000000,10601
68480,11694,68251,5000000000,6848
64410,11694,64201,5000000000,6441
75450,11694,75211,5000000000,7545
110270,11694,109891,5000000000,11027
66560,11694,66341,5000000000,6656
82100,11694,81831,5000000000,8210
72580,11694,72351,5000000000,7258
76180,11694,75941,5000000000,7618
87690,11694,87391,5000000000,8769
82820,11694,82541,5000000000,8282
105470,11694,105101,5000000000,10547
86870,11694,86571,5000000000,8687
100670,11694,100301,5000000000,10067
115660,11694,115261,5000000000,11566
64990,11694,64781,5000000000,6499
94540,11694,94191,5000000000,9454
65100,11694,64891,5000000000,6510
65600,11694,65381,5000000000,6560
90060,11694,89751,5000000000,9006
111680,11694,111301,5000000000,11168
66030,11694,65811,5000000000,6603
108230,11694,107851,5000000000,10823
67690,11694,67471,5000000000,6769
101450,11694,101081,5000000000,10145
106500,11694,106131,5000000000,10650
110530,11694,110151,5000000000,11053
115150,11694,114761,5000000000,11515
111170,11694,110791,5000000000,11117
112900,11694,112521,5000000000,11290
74010,11694,73771,5000000000,7401
78280,11694,78031,5000000000,7828
77750,11694,77501,5000000000,7775
81770,11694,81501,5000000000,8177
82720,11694,82441,5000000000,8272
114250,11694,113871,5000000000,11425
94060,11694,93721,5000000000,9406
87320,11694,87021,5000000000,8732
91080,11694,90741,5000000000,9108
95540,11694,95191,5000000000,9554
95570,11694,95221,5000000000,9557
91310,11694,90971,5000000000,9131
100580,11694,100211,5000000000,10058
94470,11694,94121,5000000000,9447
98690,11694,98341,5000000000,9869
100730,11694,100361,5000000000,10073
100700,11769,100331,5000000000,10070
97490,11769,97141,5000000000,9749
109950,11769,109571,5000000000,10995
103650,11769,103281,5000000000,10365
96100,11769,95751,5000000000,9610
101850,11769,101481,5000000000,10185
103350,11769,102981,5000000000,10335
102510,11769,102141,5000000000,10251
109930,11769,109551,5000000000,10993
98990,11769,98641,5000000000,9899
98940,11769,98591,5000000000,9894
99770,11769,99421,5000000000,9977
107190,11769,106821,5000000000,10719
96660,11769,96311,5000000000,9666
99950,11769,99601,5000000000,9995
97960,11769,97611,5000000000,9796
94310,11769,93971,5000000000,9431
98060,11769,97711,5000000000,9806
95770,11769,95421,5000000000,9577
101320,11769,100951,5000000000,10132
93610,11769,93271,5000000000,9361
96560,11769,96211,5000000000,9656
109480,11769,109101,5000000000,10948
99780,11769,99431,5000000000,9978
103820,11769,103451,5000000000,10382
106670,11769,106301,5000000000,10667
105120,11769,104751,5000000000,10512
104030,11769,103661,5000000000,10403
99800,11769,99451,5000000000,9980
109500,11769,109121,5000000000,10950
93680,11769,93341,5000000000,9368
96020,11769,95671,5000000000,9602
105130,11769,104761,5000000000,10513
96140,11769,95791,5000000000,9614
93630,11769,93291,5000000000,9363
103020,11769,102651,5000000000,10302
105490,11769,105121,5000000000,10549
108400,11769,108021,5000000000,10840
94180,11769,93841,5000000000,9418
110050,11769,109671,5000000000,11005
99490,11769,99141,5000000000,9949
106160,11769,105791,5000000000,10616
98700,11769,98351,5000000000,9870
104520,11769,104151,5000000000,10452
99580,11769,99231,5000000000,9958
93980,11769,93641,5000000000,9398
97370,11769,97021,5000000000,9737
108720,11769,108341,5000000000,10872
108130,11769,107761,5000000000,10813
98250,11769,97901,5000000000,9825
99600,11769,99251,5000000000,9960
110260,11769,109881,5000000000,11026
98170,11769,97821,5000000000,9817
99460,11769,99111,5000000000,9946
106480,11769,106111,5000000000,10648
103700,11769,103331,5000000000,10370
98770,11769,98421,5000000000,9877
94110,11769,93771,5000000000,9411
102090,11769,101721,5000000000,10209
93500,11769,93161,5000000000,9350
100900,11769,100531,5000000000,10090
104410,11769,104041,5000000000,10441
100440,11769,100091,5000000000,10044
104720,11769,104351,5000000000,10472
103890,11769,103521,5000000000,10389
96770,11769,96421,5000000000,9677
100710,11769,100341,5000000000,10071
105570,11769,105201,5000000000,10557
96010,11769,95661,5000000000,9601
108290,11769,107911,5000000000,10829
114420,11873,114041,5000000000,11442
117260,12409,116851,5000000000,11726
111470,12409,111091,5000000000,11147
120910,12410,120491,5000000000,12091
120800,12410,120381,5000000000,12080
119900,12410,119481,5000000000,11990
120520,12410,120101,5000000000,12052
119950,12410,119531,5000000000,11995
118540,12410,118121,5000000000,11854
122240,12410,121821,5000000000,12224
120060,12410,119641,5000000000,12006
119450,12410,119031,5000000000,11945
121400,12410,120981,5000000000,12140
120710,12410,120291,5000000000,12071
114950,12410,114571,5000000000,11495
122020,12410,121601,5000000000,12202
126010,12785,125571,5000000000,12601
126260,12785,125821,5000000000,12626
125990,12785,125551,5000000000,12599
122270,12785,121851,5000000000,12227
122180,12785,121761,5000000000,12218
119440,12785,119021,5000000000,11944
117770,12785,117351,5000000000,11777
119860,12785,119441,5000000000,11986
119940,12785,119521,5000000000,11994
122800,12785,122381,5000000000,12280
122680,12785,122261,5000000000,12268
122420,12785,122001,5000000000,12242
119760,12785,119341,5000000000,11976
122890,12785,122471,5000000000,12289
122310,12785,121891,5000000000,12231
118190,12785,117771,5000000000,11819
122620,12785,122201,5000000000,12262
118580,12785,118161,5000000000,11858
118310,12785,117891,5000000000,11831
125880,12785,125441,5000000000,12588
120320,13091,119901,5000000000,12032
125170,13160,124731,5000000000,12517
127680,13160,127241,5000000000,12768
118280,13160,117861,5000000000,11828
124480,13160,124041,5000000000,12448
121340,13160,120921,5000000000,12134
130911,13160,119901,4994000000,13091
130240,13160,129791,5000000000,13024
118080,13160,117661,5000000000,11808
126670,13160,126231,5000000000,12667
123560,13160,123141,5000000000,12356
130260,13160,129811,5000000000,13026
120600,13160,120181,5000000000,12060
119050,13160,118631,5000000000,11905
121200,13160,120781,5000000000,12120
130940,13281,130491,5000000000,13094
132811,13285,130491,3500000000,13281
132810,13286,132362,1500000000,13281
132850,13286,132401,1000000000,13285
127210,13419,126771,5000000000,12721
130120,13419,129671,5000000000,13012
126740,13419,126301,5000000000,12674
126990,13419,126551,5000000000,12699
127420,13419,126981,5000000000,12742
